Código;Descrição;U.M;Valor custo R$;"Valor 
venda R$";Lucro R$;lucro %;Saldo estoque;"Custo estoque
Atual R$";Fornecedor;Cód Forn.
PRO0652;P. RM PAN. C/ PH. M2-0.40 X 6 INOX A2;PÇ;1;0,23;-0,77;-77,00%;1.111,00;1111;;
PRO0653;P. RM PAN. C/ PH. M2-0.40 X 8 INOX A2;PÇ;1;0,48;-0,52;-52,00%;11.111,00;11111;;
PRO0654;P. RM PAN. C/ PH. M2-0.40 X 12 INOX A2;PÇ;1;0,38;-0,62;-62,00%;111;111;;
PRO0655;P. RM PAN. C/ PH. M2-0.40 X 16 INOX A2;PÇ;1;0,52;-0,48;-48,00%;106;106;;
PRO0656;P. AA CH. C/ PH 3.9 X 13 A2;PÇ;1;0,18;-0,82;-82,00%;106;106;;
PRO0657;P. AA PN. C/ PH 3.9 X 9.5 INOX A2;PÇ;1;0,24;-0,76;-76,00%;1.106,00;1106;;
PRO0658;P. SEXT. RI M10-1.50MA X 50 NYLON PA66 PRETO;PÇ;1;7,6;6,6;660,00%;15;15;;
PRO0659;POR. SEXT. M10-1.50MA NYLON PA66 PRETO;PÇ;1;1,97;0,97;97,00%;1.111,00;1111;;
PRO0660;P. CAB. ABAULADA TORX C/ PINO M6-1.00 X 20 INOX A2;PÇ;1;6,68;5,68;568,00%;1.910,00;1910;;
PRO0662;"P. CAB. ABAULADA TORX C/ PINO M6-1.00 X 12 INOX A2	";PÇ;1;4,68;3,68;368,00%;101;101;;
PRO0663;PORCA OLHAL - DIN 582 - M12-1.75 ZB;PÇ;1;17,67;16,67;1667,00%;111;111;;
PRO0664;PORCA OLHAL - DIN 582 - M16-2.00 ZB;PÇ;1;23,8;22,8;2280,00%;111;111;;
PRO0665;"PORCA REBITE M6 SEXTAVADO ABA PLANA AÇO C. BICRO.		";PÇ;1;0,58;-0,42;-42,00%;1.111,00;1111;;
PRO0666;PORCA REBITE M5 SEXTAVADO ABA PLANA AÇO C. BICRO.;PÇ;1;0,52;-0,48;-48,00%;11.111,00;11111;;
PRO0667;PORCA REBITE M4 SEXTAVADO ABA PLANA AÇO C. BICRO.;PÇ;1;0,48;-0,52;-52,00%;1.111,00;1111;;
PRO0668;P. CAB. CILINDRICA SX INT. M3-0.50 X 12MA LG 12.9;PÇ;1;0,3;-0,7;-70,00%;111;111;;
PRO0669;P. CAB. ABAULADA SX INT. M2-0.40 X 8 INOX A2;PÇ;1;0,87;-0,13;-13,00%;1.111,00;1111;;
PRO0670;"PORCA REBITE M8 SEMI- SEXT. ABA FINA INOX 304	";PÇ;1;3,97;2,97;297,00%;91;91;;
PRO0671;P. CAB. CHATA TORX M2.5-0.45MA X 4 INOX A2;PÇ;1;0,78;-0,22;-22,00%;3.500,00;3500;;
PRO0672;P. SEXT. RI M6-1.00MA X 20 NYLON P66 PRETO;PÇ;1;4,83;3,83;383,00%;111;111;;
PRO0673;"P. CAB. CHATA TORX M2-0.40MA X 4 INOX A2		";PÇ;1;0,78;-0,22;-22,00%;30.000,00;30000;;
PRO0674;P. S/C SEXT. INT P. CV M2.5-0.45 X 3MA A. LIGA;PÇ;1;0,78;-0,22;-22,00%;1.111,00;1111;;
PRO0675;PARAFUSO M3X6 C. PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;0,34;-0,66;-66,00%;1.111,00;1111;;
PRO0676;P. CAB. CILINDRICA SX INT. M1.6-0.35MA X 5 INOX A2;PÇ;1;1,28;0,28;28,00%;1.081,00;1081;;
PRO0677;"ESPAÇADOR MACHO/FÊMEA M3x12x6 NYLON PRETO	";PÇ;1;0,58;-0,42;-42,00%;1.000,00;1000;;
PRO0678;P. RM CH C/ PH. M5-0.80 X 10MA NYLON PA66 PRETO;PÇ;1;0,98;-0,02;-2,00%;1.111,00;1111;;
PRO0679;P. CAB. CHATA TORX M2-0.40MA X 5 INOX A2;PÇ;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0680;P. CAB. ABAULADA TORX M2-0.40 X 5 INOX A2;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0681;POR. SEXT. M10-1.50MA INOX A2;PÇ;1;1,27;0,27;27,00%;1.111,00;1111;;
PRO0682;P. CAB. CILINDRICA SX INT. M10-1.50MA X 50 INOX A2;PÇ;1;4,56;3,56;356,00%;111;111;;
PRO0683;P. S/C SEXT INT. P. PL M2.5-0.45MA X 3 INOX A2;PÇ;1;0,83;-0,17;-17,00%;111;111;;
PRO0684;P. CAB. CILINDRICA SX INT. M10-1.50 X 80 LG 12.9;PÇ;1;4,39;3,39;339,00%;1.111,00;1111;;
PRO0685;P. CAB. CILINDRICA SX INT. M10-1.50 X 120 LG 12.9;PÇ;1;6,48;5,48;548,00%;1.111,00;1111;;
PRO0686;P S/C SEXT INT. P. CV M6-1.00 X 25MA A. LIGA;PÇ;1;0,97;-0,03;-3,00%;111;111;;
PRO0687;P S/C SEXT INT. P. CV M8-1.25 X 25MA A. LIGA;PÇ;1;1,37;0,37;37,00%;111;111;;
PRO0688;P S/C SEXT INT P. CV M10-1.50 X 30MA A. LIGA;PÇ;1;2,78;1,78;178,00%;111;111;;
PRO0689;P. CAB. ABAULADA TORX M6-1.00 X 25  8.8 ZB;PÇ;1;1,63;0,63;63,00%;1.111,00;1111;;
PRO0690;"P. CAB. ABAULADA TORX  M8-1.25 X 30 INOX A2	";PÇ;1;10,5;9,5;950,00%;1.111,00;1111;;
PRO0691;P. RM PAN. C/ TORX M6-1.00 X 25 INOX A2;PÇ;1;4,74;3,74;374,00%;111;111;;
PRO0692;P. CAB. ABAULADA TORX C/ PINO M8-1.25 X 30 INOX A2;PÇ;1;12,8;11,8;1180,00%;97;97;;
PRO0693;P. SEXT. RI M14-2.00MA X 30 INOX A2;PÇ;1;8,93;7,93;793,00%;111;111;;
PRO0694;AR. LISA M14 INOX A2;PÇ;1;0,98;-0,02;-2,00%;111;111;;
PRO0695;PARAFUSO OLHAL - DIN 580 - M12-1.75 ZB;PÇ;1;19,3;18,3;1830,00%;111;111;;
PRO0696;P. RM CH. C/ PH M6-1.00 X 15 NYLON PA66 PRETO;PÇ;1;2,5;1,5;150,00%;1.111,00;1111;;
PRO0697;P. CAB. ABAULADA SX INT. M2-0.40 X 25 INOX A2;PÇ;1;1,23;0,23;23,00%;111;111;;
PRO0698;P. CAB. ABAULADA TORX C/ PINO M8-1.25 X 20 INOX A2;PÇ;1;9,76;8,76;876,00%;0;0;;
PRO0699;P. AA PN. C/ PH 2.2 X 6 INOX A2;PÇ;1;0,25;-0,75;-75,00%;2.222,00;2222;;
PRO0700;AR. LISA M6 NYLON PA66 BRANCO;PÇ;1;0,43;-0,57;-57,00%;111;111;;
PRO0701;P. AA PN. C/ PH 2.2 X 16 INOX A2;PÇ;1;0,32;-0,68;-68,00%;1.000,00;1000;;
PRO0702;P. CAB. ABAULADA TORX C/ PINO M4-0.70 X 10 INOX A2;PÇ;1;1,97;0,97;97,00%;10.000,00;10000;;
PRO0703;P. CAB. ABAULADA TORX C/ PINO M5-0.80 X 8 INOX A2;PÇ;1;2,19;1,19;119,00%;1.111,00;1111;;
PRO0704;P. CAB. ABAULADA SX INT. M5-0.80 X 25 INOX A2;PÇ;1;0,79;-0,21;-21,00%;1.111,00;1111;;
PRO0705;P. S/C SEXT. INT P. CV M2-0.40 X 2 MA INOX A2;PÇ;1;0,93;-0,07;-7,00%;1.111,00;1111;;
PRO0706;P. CAB. ABAULADA SX INT. M8-1.25 X 25 INOX A2;PÇ;1;1,83;0,83;83,00%;1.111,00;1111;;
PRO0707;P. CAB. ABAULADA SX INT. M8-1.25 X 30 INOX A2;PÇ;1;2,14;1,14;114,00%;1.111,00;1111;;
PRO0708;P. CAB. ABAULADA SX INT. M8-1.25 X 80 INOX A2;PÇ;1;12,57;11,57;1157,00%;111;111;;
PRO0709;P. CAB. CHATA SX INT. M10-1.50 X 35 INOX A2;PÇ;1;4,14;3,14;314,00%;111;111;;
PRO0710;P. SEXT. RI M6-1.00MA X 35 INOX A2;PÇ;1;1,12;0,12;12,00%;111;111;;
PRO0711;P. SEXT. RI M3-0.50MA X 25 NYLON PA66 BRANCO;PÇ;1;2,27;1,27;127,00%;111;111;;
PRO0712;P. AA PN. C/ FE 5.5 X 38 INOX A2;PÇ;1;1,27;0,27;27,00%;111;111;;
PRO0713;"P. RM CH C/ PH. M1.7-0.35 X 10MA INOX A2		";PÇ;1;0,98;-0,02;-2,00%;63;63;;
PRO0714;P. CAB. ABAULADA SX INT. M6-1.00 X 60 INOX A2;PÇ;1;3,34;2,34;234,00%;1.111,00;1111;;
PRO0715;P. RM CH C/ PH. M2-0.40 X 12MA INOX A2;PÇ;1;0,53;-0,47;-47,00%;1.111,00;1111;;
PRO0716;P. SEXT. RI M10-1.50MA X 30 NYLON PA66 BRANCO;PÇ;1;5,67;4,67;467,00%;111;111;;
PRO0717;PORCA REBITE 1/4-20 CILINDRICO ABA PLANA AÇO INOX;PÇ;1;2,52;1,52;152,00%;110.811,00;110811;;
PRO0718;MACHO DE ROSCA M5x0.50mm UNITARIO MANUAL HSS;PÇ;1;37,87;36,87;3687,00%;4;4;;
PRO0719;COSSINETE M5X0.5mm ;PÇ;1;39,45;38,45;3845,00%;1;1;;
PRO0720;P. RM CL. C/ FE M4-0.70 X 10 INOX A2;PÇ;1;0,28;-0,72;-72,00%;111;111;;
PRO0721;AR. PRESSAO ME M3 FE. BC;PÇ;1;0,03;-0,97;-97,00%;1.111,00;1111;;
PRO0722;ESPAÇADOR FÊMEA / FÊMEA M3X13 NYLON PA66 PRETO;PÇ;1;0,23;-0,77;-77,00%;50.000,00;50000;;
PRO0723;PARAFUSO CABEÇA PANELA PHILLIPS M3X10 NYLON PA66 PRETO;PÇ;1;0,2;-0,8;-80,00%;1.111,00;1111;;
PRO0724;PARAFUSO CABEÇA PANELA PHILLIPS M3X12 NYLON PA66 PRETO;PÇ;1;0,22;-0,78;-78,00%;11.111,00;11111;;
PRO0725;ESPAÇADOR SEM ROSCA M3X3X7 ABS PRETO;PÇ;1;0,27;-0,73;-73,00%;1.111,00;1111;;
PRO0726;P. CAB. CHATA SX INT. M4-0.70 X 40 INOX A2;PÇ;1;2,79;1,79;179,00%;111;111;;
PRO0727;P. CAB. CILINDRICA SX INT. M3-0.50 X 20MA LG 12.9;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0728;P. CAB. CILINDRICA SX INT. M4-0.70 X 25MA LG 12.9;PÇ;1;0,37;-0,63;-63,00%;111;111;;
PRO0729;P. CAB. CILINDRICA SX INT. M5-0.80 X 25 LG 12.9;PÇ;1;0,43;-0,57;-57,00%;111;111;;
PRO0730;P. CAB. CILINDRICA SX INT. M6-1.00 X 16 LG 12.9;PÇ;1;0,43;-0,57;-57,00%;11;11;;
PRO0731;P. CAB. CILINDRICA SX INT. M6-1.00 X 20 LG 12.9;PÇ;1;0,48;-0,52;-52,00%;111;111;;
PRO0732;P. CAB. CHATA SX INT. M4-0.70 X 12MA LG 12.9;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0733;P. SEXT. RI M3-0.50MA X 10 INOX A2;PÇ;1;1,83;0,83;83,00%;1.111,00;1111;;
PRO0734;P. SEXT. RI M3-0.50MA X 16 INOX A2;PÇ;1;2,11;1,11;111,00%;111;111;;
PRO0735;P. SEXT. RI M3-0.50MA X 20 INOX A2;PÇ;1;2,32;1,32;132,00%;11;11;;
PRO0736;P. SEXT. RI M3-0.50MA X 25 INOX A2;PÇ;1;2,58;1,58;158,00%;111;111;;
PRO0737;P. SEXT. RI M3-0.50MA X 30 INOX A2;PÇ;1;2,98;1,98;198,00%;111;111;;
PRO0738;P. SEXT. RI M4-0.70MA X 16 INOX A2;PÇ;1;0,48;-0,52;-52,00%;111;111;;
PRO0739;P. CAB. CHATA TORX M3-0.50MA X 6 INOX A2;PÇ;1;0,64;-0,36;-36,00%;500;500;;
PRO0740;P. CAB. CHATA TORX M3-0.50MA X 10 LG 12.9;PÇ;1;0,68;-0,32;-32,00%;111;111;;
PRO0741;P. CAB. CHATA TORX M3-0.50MA X 6 LG 12.9;PÇ;1;0,64;-0,36;-36,00%;111;111;;
PRO0742;PORCA SEXTAVADA - 5/8-11UNC INOX 304;PÇ;1;4,86;3,86;386,00%;111;111;;
PRO0743;ESPAÇADOR FÊMEA / FÊMEA M3X12 NYLON PA66 PRETO;PÇ;1;0,57;-0,43;-43,00%;1.000,00;1000;;
PRO0744;PARAFUSO M3X15 C. PANELA PHILLIPS NYLON PA66 BRANCO;PÇ;1;0,5;-0,5;-50,00%;1.000,00;1000;;
PRO0745;PARAFUSO CABEÇA PANELA PHILLIPS M3X12 NYLON PA66 BRANCO;PÇ;1;0,22;-0,78;-78,00%;1.000,00;1000;;
PRO0746;ESPAÇADOR SEM ROSCA M3X3X7 ABS BRANCO;PÇ;1;0,27;-0,73;-73,00%;1.000,00;1000;;
PRO0747;PA AUTO BROC. RD. TX. 6.3 X 25 ACO ZB;PÇ;1;0,49;-0,51;-51,00%;11.111,00;11111;;
PRO0748;PORCA REBITE M6 CILINDRICO ABA PLANA ZB;PÇ;1;0,28;-0,72;-72,00%;111;111;;
PRO0749;P. CAB. ABAULADA TORX M6-1.00 X 40 8.8 ZB;PÇ;1;2,13;1,13;113,00%;1.111,00;1111;;
PRO0750;Kit de Parafuso M1-M1.2-M1.4-M1.7 Rosca Soberba - 1000 peças ;PÇ;1;82,64;81,64;8164,00%;2;2;;
PRO0751;COSSINETE M4x0.7 ROSCA ESQUERDA;PÇ;1;48,45;47,45;4745,00%;5;5;;
PRO0752;P. RM CH C/ PH. M2-0.40 X 10MA INOX A2;PÇ;1;0,54;-0,46;-46,00%;1.111,00;1111;;
PRO0753;P. RM CH C/ PH. M3-0.50 X 10MA INOX A2;PÇ;1;0,1;-0,9;-90,00%;111;111;;
PRO0754;"P. RM CH C/ PH. M5-0.80 X 15MA NYLON PA66 PRETO	";PÇ;1;1,13;0,13;13,00%;111;111;;
PRO0755;P. RM CH C/ PH. M2-0.40 X 6MA NYLON PA66 PRETO ;PÇ;1;0,25;-0,75;-75,00%;111;111;;
PRO0756;P. RM CH C/ PH. M2-0.40 X 12MA NYLON PA66 PRETO ;PÇ;1;0,29;-0,71;-71,00%;111;111;;
PRO0757;P. RM CH C/ PH. M2.5-0.45 X 10MA NYLON PA66 PRETO;PÇ;1;0,31;-0,69;-69,00%;111;111;;
PRO0758;P. RM CH C/ PH. M2.5-0.45 X 15MA NYLON PA66 PRETO;PÇ;1;0,35;-0,65;-65,00%;111;111;;
PRO0759;P. RM CH C/ PH. M3-0.50 X 10MA NYLON PA66 PRETO;PÇ;1;0,39;-0,61;-61,00%;111;111;;
PRO0760;P. RM CH C/ PH. M3-0.50 X 15MA NYLON PA66 PRETO;PÇ;1;0,42;-0,58;-58,00%;111;111;;
PRO0761;P. SEXT. RI M6-1.00MA X 20 NYLON P66 BRANCO;PÇ;1;4,83;3,83;383,00%;11;11;;
PRO0762;P. CAB. CHATA TORX  M5-0.80 X 16 INOX A2;PÇ;1;2,16;1,16;116,00%;1.111,00;1111;;
PRO0763;P. CAB. CHATA TORX  M5-0.80 X 14 INOX A2;PÇ;1;2,12;1,12;112,00%;1.111,00;1111;;
PRO0764;P. S/C SEXT INT. P. PL M2.5-0.45MA X 2 INOX A2;PÇ;1;0,89;-0,11;-11,00%;1.111,00;1111;;
PRO0765;POR. BORBOLETA M8-1.25MA INOX A2 ;PÇ;1;2,59;1,59;159,00%;111;111;;
PRO0766;P. RM PAN. C/ PH. M2.5-0.45 X 6 INOX A2;PÇ;1;0,69;-0,31;-31,00%;111;111;;
PRO0767;AR. LISA M3 FE. ZB;PÇ;1;0,06;-0,94;-94,00%;11;11;;
PRO0768;P. CAB. ABAULADA TORX C/ PINO M3-0.50 X 5 INOX A2;PÇ;1;0,83;-0,17;-17,00%;11.111,00;11111;;
PRO0769;P. SEXT. RI M4-0.70MA X 50 INOX A2;PÇ;1;1,32;0,32;32,00%;111;111;;
PRO0770;P. RM CH C/ PH. M1.2-0.25 X 4MA INOX A2;PÇ;1;0,78;-0,22;-22,00%;111;111;;
PRO0771;ESPAÇADOR SEM ROSCA M3X6X7 ABS PRETO;PÇ;1;0,46;-0,54;-54,00%;5.000,00;5000;;
PRO0772;P. RM PAN. C/ PH. M4-0.70 X 8 NYLON PA66 PRETO;PÇ;1;0,49;-0,51;-51,00%;111;111;;
PRO0773;P. RM PAN. C/ PH. M5-0.80 X 10 NYLON PA66 PRETO;PÇ;1;1,13;0,13;13,00%;1.111,00;1111;;
PRO0774;P. RM PAN. C/ PH. M4-0.70 X 10 NYLON PA66 PRETO;PÇ;1;0,92;-0,08;-8,00%;111;111;;
PRO0775;FRETE SEDEX 3-4 DIAS ÚTEIS;PÇ;1;34,5;33,5;3350,00%;2;2;;
PRO0776;COSSINETE M1.2X0.25mm;PÇ;1;36,4;35,4;3540,00%;11;11;;
PRO0777;COSSINETE M1.4X0.35mm;PÇ;1;36,4;35,4;3540,00%;11;11;;
PRO0778;REB. REPUXO 4.8 X 10.0 ACO / ALUMINIO;PÇ;1;0,21;-0,79;-79,00%;111;111;;
PRO0779;P. AA CH. C/ PH 2.9 X 9.5 A2;PÇ;1;0,12;-0,88;-88,00%;1.111,00;1111;;
PRO0780;AR. LISA M3 INOX A2 (Grossa);PÇ;1;0,12;-0,88;-88,00%;111;111;;
PRO0781;P. CAB. CILINDRICA SX INT. M2-0.40MA X 3 INOX A2;PÇ;1;0,87;-0,13;-13,00%;1.111,00;1111;;
PRO0782;P. AA CAB. ABAULADA TORX C/ PINO  3.5 X 10 INOX A2;PÇ;1;0,85;-0,15;-15,00%;5.000,00;5000;;
PRO0783;P. RM PAN. C/ PH. M3-0.50 X 16 INOX A2;PÇ;1;0,27;-0,73;-73,00%;1.111,00;1111;;
PRO0784;P. AA PN. C/ TORX 4.8 X 16 INOX A2;PÇ;1;0,59;-0,41;-41,00%;111;111;;
PRO0785;P. AA PN. C/ TORX 3.9 X 9.5 INOX A2;PÇ;1;0,54;-0,46;-46,00%;11.111,00;11111;;
PRO0786;P. RM PAN. C/ TORX M3-0.50 X 10 INOX A2;PÇ;1;0,78;-0,22;-22,00%;111;111;;
PRO0787;P. RM PAN. C/ TORX M3-0.50 X 6 INOX A2;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0788;P. RM PAN. C/ TORX M3-0.50 X 8 INOX A2;PÇ;1;0,76;-0,24;-24,00%;111;111;;
PRO0789;P. RM PAN. C/ TORX M3-0.50 X 20 INOX A2;PÇ;1;1,27;0,27;27,00%;1.111,00;1111;;
PRO0790;P. RM PAN. C/ TORX M4-0.70 X 6 INOX A2;PÇ;1;0,97;-0,03;-3,00%;1.111,00;1111;;
PRO0791;"P. RM PAN. C/ TORX M2.5-0.45 X 6 INOX A2		";PÇ;1;0,87;-0,13;-13,00%;111;111;;
PRO0792;"P. RM PAN. C/ TORX M4-0.70 X 10 INOX A2		";PÇ;1;1,03;0,03;3,00%;111;111;;
PRO0793;P. AA PN. C/ TORX 3,0 X 20 INOX A2;PÇ;1;0,67;-0,33;-33,00%;111;111;;
PRO0794;P. RM PN. FE. CROMADO PH M2-0.40MA;PÇ;1;0,23;-0,77;-77,00%;111;111;;
PRO0795;P. CAB. CILINDRICA SX INT. M1.6-0.35MA X 20 INOX A2;PÇ;1;1,47;0,47;47,00%;1.111,00;1111;;
PRO0796;Frete: SEDEX 3 a 4 dias úteis;PÇ;1;37,3;36,3;3630,00%;111;111;;
PRO0797;ESPAÇADOR ANTI VIBRAÇÃO CONTROL. VOO  M3 x 7 + 4.5mm;PÇ;1;3,57;2,57;257,00%;1.111,00;1111;;
PRO0798;P. RM CH. C/ PH M6-1.00 X 10 NYLON PA66 PRETO;PÇ;1;2,5;1,5;150,00%;100;100;;
PRO0799;P. RM PAN. C/ PH. M2-0.40 X 5 INOX A2;PÇ;1;0,39;-0,61;-61,00%;1.111,00;1111;;
PRO0800;P. CAB. CHATA SX INT. M2-0.40 X 8MA LG 12.9;PÇ;1;0,81;-0,19;-19,00%;111;111;;
PRO0801;P. CAB. CHATA SX INT. M3-0.50 X 8MA LG 12.9;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0802;P. CAB. CHATA SX INT. M2-0.40 X 20MA LG 12.9;PÇ;1;0,89;-0,11;-11,00%;111;111;;
PRO0803;P. CAB. CHATA SX INT. M3-0.50 X 6MA LG 12.9;PÇ;1;0,58;-0,42;-42,00%;111;111;;
PRO0804;P. AA CH. C/ PH 2.2 X 6 A2;PÇ;1;0,29;-0,71;-71,00%;111;111;;
PRO0805;"P. AA CH. C/ PH 2.2 X 9.5 A2		";PÇ;1;0,32;-0,68;-68,00%;111;111;;
PRO0806;P. S/C SEXT. INT P. CV M5-0.80 X 5MA INOX A2;PÇ;1;0,23;-0,77;-77,00%;111;111;;
PRO0807;P. CAB. CILINDRICA SX INT. M16-2.00MA X 45 INOX A2;PÇ;1;13,98;12,98;1298,00%;111;111;;
PRO0808;P S/C SEXT. INT P. CV M5-0.80 X 10MA INOX A2;PÇ;1;0,37;-0,63;-63,00%;111;111;;
PRO0809;AR. LISA M20 INOX A2;PÇ;1;2,34;1,34;134,00%;111;111;;
PRO0810;AR. LISA M16 INOX A2;PÇ;1;1,44;0,44;44,00%;111;111;;
PRO0811;AR. PRESSAO M20 INOX A2;PÇ;1;1,98;0,98;98,00%;1.111,00;1111;;
PRO0812;AR. PRESSAO M16 INOX A2;PÇ;1;1,2;0,2;20,00%;111;111;;
PRO0813;AR. PRESSAO M10 INOX A2;PÇ;1;0,3;-0,7;-70,00%;111;111;;
PRO0814;POR. TRAVANTE M20-2.50MA INOX A2;PÇ;1;15,23;14,23;1423,00%;111;111;;
PRO0815;POR. TRAVANTE M16-2.00MA INOX A2;PÇ;1;5,45;4,45;445,00%;111;111;;
PRO0816;POR. TRAVANTE M10-1.50MA INOX A2;PÇ;1;1,5;0,5;50,00%;1.111,00;1111;;
PRO0817;P. CAB. ABAULADA SX INT. M4-0.70 X 16 INOX A2;PÇ;1;0,39;-0,61;-61,00%;611;611;;
PRO0818;"P. AA PN. C/ PH 1.7 X 8 INOX A2	";PÇ;1;0,78;-0,22;-22,00%;111;111;;
PRO0819;P. AA PN. C/ TORX 2.6 X 6 INOX A2;PÇ;1;0,49;-0,51;-51,00%;1.111,00;1111;;
PRO0820;"P. CAB. CHATA TORX M2.5-0.45MA X 8 INOX A2		";PÇ;1;0,73;-0,27;-27,00%;111;111;;
PRO0821;P. AA PN. C/ TORX 2.9 X 10 INOX A2;PÇ;1;0,57;-0,43;-43,00%;1.111,00;1111;;
PRO0822;P. RM PAN. C/ PH. M4-0.70 X 10 INOX A2;PÇ;1;0,25;-0,75;-75,00%;1.111,00;1111;;
PRO0823;P. S/C SEXT. INT P. PL M2-0.40 X 2 MA INOX A2;PÇ;1;0,93;-0,07;-7,00%;1.111,00;1111;;
PRO0824;P. AA PN. C/ PH 2.2 X 10 INOX A2;PÇ;1;0,27;-0,73;-73,00%;111;111;;
PRO0825;P. RM PAN. C/ TORX M5-0.80 X 20 INOX A2;PÇ;1;2,58;1,58;158,00%;1.111,00;1111;;
PRO0826;P. CAB. CHATA TORX M5-0.80 X 20 INOX A2;PÇ;1;3,2;2,2;220,00%;111;111;;
PRO0827;P. RM CH C/ PH. M2-0.40 X 4MA INOX A2;PÇ;1;0,42;-0,58;-58,00%;1.111,00;1111;;
PRO0828;P. S/C SEXT. INT P. PL M2.5-0.45 X 3MA INOX A2;PÇ;1;0,83;-0,17;-17,00%;1.111,00;1111;;
PRO0829;"P. S/C SEXT. INT P. PL M2-0.40 X 3MA INOX A2		";PÇ;1;0,92;-0,08;-8,00%;1.111,00;1111;;
PRO0830;POR. SEXT. M3.5-0.60 INOX A2;PÇ;1;0,93;-0,07;-7,00%;65;65;;
PRO0831;P. CAB. CILINDRICA SX INT. M6-1.00 X 50 LG 12.9;PÇ;1;0,96;-0,04;-4,00%;111;111;;
PRO0832;P. CAB. CILINDRICA SX INT. M6-1.00 X 35 LG 12.9;PÇ;1;0,58;-0,42;-42,00%;111;111;;
PRO0833;P. RM CH. C/ PH M3-0.50 X 6 ZINC. PRETO;PÇ;1;0,1;-0,9;-90,00%;111;111;;
PRO0834;P. RM PAN. C/ PH. M2.5-0.45 X 6 ZINC. BRANCO;PÇ;1;0,13;-0,87;-87,00%;1.111,00;1111;;
PRO0835;P. RM CH. C/ FE. M8-1.25 X 35MA INOX A2;PÇ;1;3,57;2,57;257,00%;111;111;;
PRO0836;P. RM CH. C/ FE. M8-1.25 X 40MA INOX A2;PÇ;1;3,78;2,78;278,00%;111;111;;
PRO0837;REB. REPUXO 4.0 X 12 ACO / ACO ZB;PÇ;1;0,49;-0,51;-51,00%;1.111,00;1111;;
PRO0838;P. CAB. CHATA SX INT. M4-0.70 X 20MA LG 12.9;PÇ;1;0,3;-0,7;-70,00%;111;111;;
PRO0839;P. CAB. CILINDRICA SX INT. M3-0.50 X 10MA LG 12.9;PÇ;1;0,3;-0,7;-70,00%;11;11;;
PRO0840;P. CAB. CILINDRICA SX INT. M3-0.50 X 16MA LG 12.9;PÇ;1;0,33;-0,67;-67,00%;111;111;;
PRO0841;P. CAB. CILINDRICA SX INT. M3-0.50 X 25MA LG 12.9;PÇ;1;0,48;-0,52;-52,00%;11;11;;
PRO0842;P S/C SEXT. INT P. CV M4-0.70 X 20MA INOX A2;PÇ;1;4,83;3,83;383,00%;111;111;;
PRO0843;P S/C SEXT. INT P. CV M5-0.80 X 16MA INOX A2;PÇ;1;0,92;-0,08;-8,00%;111;111;;
PRO0844;P S/C SEXT. INT P. CV M6-1.00 X 20MA INOX A2;PÇ;1;1,12;0,12;12,00%;111;111;;
PRO0845;"P. RM PAN. C/ PH. M4-0.70 X 15 NYLON PA66 PRETO		";PÇ;1;1,12;0,12;12,00%;511;511;;
PRO0846;P. SEXT. RI M10-1.50MA X 50 R. ESQUERDA INOX A2;PÇ;1;17,32;16,32;1632,00%;25;25;;
PRO0847;FRETE VIA LATAM 8 A 9 DIAS ÚTEIS (ESTIMATIVA);PÇ;1;28,12;27,12;2712,00%;111;111;;
PRO0848;AR. LISA M8 FE. PL;PÇ;1;0,24;-0,76;-76,00%;111;111;;
PRO0849;AR. PRESSAO ME M12 FE. ZB;PÇ;1;0,51;-0,49;-49,00%;111;111;;
PRO0850;AR. LISA M14 FE. ZB;PÇ;1;0,97;-0,03;-3,00%;11.111,00;11111;;
PRO0851;P. SEXT. RI M6-1.00MA X 20 8.8 ZB;PÇ;1;0,39;-0,61;-61,00%;1.111,00;1111;;
PRO0852;P. SEXT. RI M8-1.25MA X 20 8.8 ZB;PÇ;1;0,81;-0,19;-19,00%;111;111;;
PRO0853;P. SEXT. RI M10-1.50MA X 40 8.8 ZB;PÇ;1;1,8;0,8;80,00%;1.111,00;1111;;
PRO0854;P. SEXT. RI M8-1.25MA X 35 8.8 ZB;PÇ;1;1,02;0,02;2,00%;1.111,00;1111;;
PRO0855;P. SEXT. RI M8-1.25MA X 55 8.8 ZB;PÇ;1;1,71;0,71;71,00%;1.111,00;1111;;
PRO0856;P. SEXT. RI M8-1.25MA X 45 8.8 ZB;PÇ;1;1,67;0,67;67,00%;1.111,00;1111;;
PRO0857;P. SEXT. RI M8-1.25MA X 65 8.8 ZB;PÇ;111;2,1;-108,9;-98,11%;111;12321;;
PRO0858;P. SEXT. RI M14-2.00MA X 80 8.8 ZB;PÇ;1;7,5;6,5;650,00%;111;111;;
PRO0859;P. SEXT. RI M10-1.50MA X 65 8.8 ZB;PÇ;1;3,12;2,12;212,00%;1.111,00;1111;;
